Product,Status,Release Date,Code Name,Vertical Segment,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Max Memory Channels,Integrated Graphics,Sockets Supported,Max Operating Temp.(°C)
Celeron G6900,Launched,Q1'22,Alder Lake,Desktop,2,2,7,N/A,3.40,46,4,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,2,Intel UHD Graphics 710,FCLGA1700,100
Celeron G6900E,Launched,Q1'22,Alder Lake,Embedded,2,2,7,N/A,3.00,46,4,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,2,Intel UHD Graphics 710,FCLGA1700,100
Celeron G6900T,Launched,Q1'22,Alder Lake,Desktop,2,2,7,N/A,2.80,35,4,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,2,Intel UHD Graphics 710,FCLGA1700,100
Celeron G6900TE,Launched,Q1'22,Alder Lake,Embedded,2,2,7,N/A,2.40,35,4,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,2,Intel UHD Graphics 710,FCLGA1700,100
Celeron G5905,Launched,Q3'20,Comet Lake,Desktop,2,2,14,N/A,3.50,58,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 610 Graphics,FCLGA1200,100
Celeron G5905T,Launched,Q3'20,Comet Lake,Desktop,2,2,14,N/A,3.30,35,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 610 Graphics,FCLGA1200,100
Celeron G5925,Launched,Q3'20,Comet Lake,Desktop,2,2,14,N/A,3.60,58,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 610 Graphics,FCLGA1200,100
Celeron G5900,Launched,Q2'20,Comet Lake,Desktop,2,2,14,N/A,3.40,58,2,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 610 Graphics,FCLGA1200,100
Celeron G5900E,Launched,Q2'20,Comet Lake,Embedded,2,2,14,N/A,3.20,58,2,Intel Smart Cache,128,DDR4,2400,2,Intel UHD 610 Graphics,FCLGA1200,100
Celeron G5900T,Launched,Q2'20,Comet Lake,Desktop,2,2,14,N/A,3.20,35,2,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 610 Graphics,FCLGA1200,100
