Product,Status,Release Date,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Integrated Graphics
Intel Processor N100,Launched,Q1'23,4,4,7,3.40,N/A,6,6,Intel Smart Cache,Intel UHD Graphics
Intel Processor N200,Launched,Q1'23,4,4,7,3.70,N/A,6,6,Intel Smart Cache,Intel UHD Graphics
Intel Processor N50,Launched,Q1'23,2,N/A,7,3.40,N/A,6,6,N/A,Intel UHD Graphics
Intel Processor N97,Launched,Q1'23,4,N/A,7,3.60,N/A,12,6,Intel Smart Cache,Intel UHD Graphics
Intel Processor U300,Launched,Q1'23,5,6,7,4.40,N/A,15,8,Intel Smart Cache,Intel UHD Graphics for 13th Gen Intel Processors
Intel Processor U300E,Launched,Q1'23,5,6,7,4.30,1.10,15,8,Intel Smart Cache,Intel UHD Graphics for 13th Gen Intel Processors
