Product,Status,Release Date,Code Name,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Pentium U5600,Discontinued,Q1'11,Arrandale,2,2,32,N/A,1.33,18,3,Intel Smart Cache,8,DDR3,800,Intel HD Graphics for Previous Gen Intel Processors
Pentium P6300,Discontinued,Q1'11,Arrandale,2,2,32,N/A,2.27,35,3,Intel Smart Cache,8,DDR3 800/1066,N/A,Intel HD Graphics for Previous Gen Intel Processors
Pentium E5800,Discontinued,Q4'10,Wolfdale,2,N/A,45,N/A,3.20,65,2,N/A,N/A,N/A,N/A,N/A
Pentium E5700,Discontinued,Q3'10,Wolfdale,2,N/A,45,N/A,3.00,65,2,Intel Smart Cache,N/A,N/A,N/A,N/A
Pentium E6800,Discontinued,Q3'10,Wolfdale,2,N/A,45,N/A,3.33,65,2,Intel Smart Cache,N/A,N/A,N/A,N/A
Pentium P6100,Discontinued,Q3'10,Arrandale,2,2,32,N/A,2.00,35,3,Intel Smart Cache,8,DDR3 800/1066,N/A,Intel HD Graphics for Previous Gen Intel Processors
Pentium P6200,Discontinued,Q3'10,Arrandale,2,2,32,N/A,2.13,35,3,Intel Smart Cache,8,DDR3 800/1066,N/A,Intel HD Graphics for Previous Gen Intel Processors
Pentium E6700,Discontinued,Q2'10,Wolfdale,2,N/A,45,N/A,3.20,65,2,Intel Smart Cache,N/A,N/A,N/A,N/A
Pentium U5400,Discontinued,Q2'10,Arrandale,2,2,32,N/A,1.20,18,3,Intel Smart Cache,8,DDR3,800,Intel HD Graphics for Previous Gen Intel Processors
Pentium E5500,Discontinued,Q2'10,Wolfdale,2,N/A,45,N/A,2.80,65,2,Intel Smart Cache,N/A,N/A,N/A,N/A
