Product,Status,Release Date,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Integrated Graphics
Xeon E7-4850 v4,Launched,Q2'16,16,32,14,2.8,2.1,115,40,N/A,N/A
Xeon E7-8860 v4,Launched,Q2'16,18,36,14,3.2,2.2,140,45,N/A,N/A
Xeon E7-8867 v4,Launched,Q2'16,18,36,14,3.3,2.4,165,45,N/A,N/A
Xeon E7-8870 v4,Launched,Q2'16,20,40,14,3,2.1,140,50,N/A,N/A
Xeon E7-8880 v4,Launched,Q2'16,22,44,14,3.3,2.2,150,55,N/A,N/A
Xeon E7-8890 v4,Launched,Q2'16,24,48,14,3.4,2.2,165,60,N/A,N/A
Xeon E7-8891 v4,Launched,Q2'16,10,20,14,3.5,2.8,165,60,N/A,N/A
Xeon E7-8893 v4,Launched,Q2'16,4,8,14,3.5,3.2,140,60,N/A,N/A
Xeon E7-4809 v3,Launched,Q2'15,8,16,22,N/A,2,115,20,Last Level Cache,N/A
Xeon E7-4820 v3,Launched,Q2'15,10,20,22,N/A,1.9,115,25,Last Level Cache,N/A
Xeon E7-4830 v3,Launched,Q2'15,12,24,22,2.7,2.1,115,30,Last Level Cache,N/A
Xeon E7-4850 v3,Launched,Q2'15,14,28,22,2.8,2.2,115,35,Last Level Cache,N/A
Xeon E7-8860 v3,Launched,Q2'15,16,32,22,3.2,2.2,140,40,Last Level Cache,N/A
Xeon E7-8867 v3,Launched,Q2'15,16,32,22,3.3,2.5,165,45,N/A,N/A
Xeon E7-8870 v3,Launched,Q2'15,18,36,22,2.9,2.1,140,45,Last Level Cache,N/A
Xeon E7-8880 v3,Launched,Q2'15,18,36,22,3.1,2.3,150,45,Last Level Cache,N/A
Xeon E7-8880L v3,Launched,Q2'15,18,36,22,2.8,2,115,45,Last Level Cache,N/A
Xeon E7-8890 v3,Launched,Q2'15,18,36,22,3.3,2.5,165,45,Last Level Cache,N/A
Xeon E7-8891 v3,Launched,Q2'15,10,20,22,3.5,2.8,165,45,Last Level Cache,N/A
Xeon E7-8893 v3,Launched,Q2'15,4,8,22,3.5,3.2,140,45,Last Level Cache,N/A
Xeon E7-2850 v2,Discontinued,Q1'14,12,24,22,2.8,2.3,105,24,N/A,N/A
Xeon E7-2870 v2,Launched,Q1'14,15,30,22,2.9,2.3,130,30,N/A,N/A
Xeon E7-2880 v2,Launched,Q1'14,15,30,22,3.1,2.5,130,37.5,N/A,N/A
Xeon E7-2890 v2,Launched,Q1'14,15,30,22,3.4,2.8,155,37.5,N/A,N/A
Xeon E7-4809 v2,Launched,Q1'14,6,12,22,N/A,1.9,105,12,N/A,N/A
Xeon E7-4820 v2,Discontinued,Q1'14,8,16,22,2.5,2,105,16,N/A,N/A
Xeon E7-4830 v2,Discontinued,Q1'14,10,20,22,2.7,2.2,105,20,N/A,N/A
Xeon E7-4850 v2,Discontinued,Q1'14,12,24,22,2.8,2.3,105,24,N/A,N/A
Xeon E7-4860 v2,Launched,Q1'14,12,24,22,3.2,2.6,130,30,N/A,N/A
Xeon E7-4870 v2,Launched,Q1'14,15,30,22,2.9,2.3,130,30,N/A,N/A
Xeon E7-4880 v2,Discontinued,Q1'14,15,30,22,3.1,2.5,130,37.5,N/A,N/A
Xeon E7-4890 v2,Discontinued,Q1'14,15,30,22,3.4,2.8,155,37.5,N/A,N/A
Xeon E7-8850 v2,Discontinued,Q1'14,12,24,22,2.8,2.3,105,24,N/A,N/A
Xeon E7-8857 v2,Launched,Q1'14,12,12,22,3.6,3,130,30,N/A,N/A
Xeon E7-8870 v2,Launched,Q1'14,15,30,22,2.9,2.3,130,30,N/A,N/A
Xeon E7-8880 v2,Discontinued,Q1'14,15,30,22,3.1,2.5,130,37.5,N/A,N/A
Xeon E7-8880L v2,Launched,Q1'14,15,30,22,2.8,2.2,105,37.5,N/A,N/A
Xeon E7-8890 v2,Discontinued,Q1'14,15,30,22,3.4,2.8,155,37.5,N/A,N/A
Xeon E7-8891 v2,Discontinued,Q1'14,10,20,22,3.7,3.2,155,37.5,N/A,N/A
Xeon E7-8893 v2,Launched,Q1'14,6,12,22,3.7,3.4,155,37.5,N/A,N/A
Xeon E7-2803,Discontinued,Q2'11,6,12,32,N/A,1.73,105,18,Intel Smart Cache,N/A
Xeon E7-2820,Discontinued,Q2'11,8,16,32,2.27,2,105,18,Intel Smart Cache,N/A
Xeon E7-2830,Discontinued,Q2'11,8,16,32,2.4,2.13,105,24,Intel Smart Cache,N/A
Xeon E7-2850,Discontinued,Q2'11,10,20,32,2.4,2,130,24,Intel Smart Cache,N/A
Xeon E7-2860,Discontinued,Q2'11,10,20,32,2.67,2.26,130,24,Intel Smart Cache,N/A
Xeon E7-2870,Discontinued,Q2'11,10,20,32,2.8,2.4,130,30,Intel Smart Cache,N/A
Xeon E7-4807,Discontinued,Q2'11,6,12,32,N/A,1.86,95,18,Intel Smart Cache,N/A
Xeon E7-4820,Discontinued,Q2'11,8,16,32,2.27,2,105,18,Intel Smart Cache,N/A
Xeon E7-4830,Discontinued,Q2'11,8,16,32,2.4,2.13,105,24,Intel Smart Cache,N/A
Xeon E7-4850,Discontinued,Q2'11,10,20,32,2.4,2,130,24,Intel Smart Cache,N/A
Xeon E7-4860,Discontinued,Q2'11,10,20,32,2.67,2.26,130,24,Intel Smart Cache,N/A
Xeon E7-4870,Discontinued,Q2'11,10,20,32,2.8,2.4,130,30,Intel Smart Cache,N/A
Xeon E7-8830,Discontinued,Q2'11,8,16,32,2.4,2.13,105,24,Intel Smart Cache,N/A
Xeon E7-8837,Discontinued,Q2'11,8,8,32,2.8,2.66,130,24,Intel Smart Cache,N/A
Xeon E7-8850,Discontinued,Q2'11,10,20,32,2.4,2,130,24,Intel Smart Cache,N/A
Xeon E7-8860,Discontinued,Q2'11,10,20,32,2.67,2.26,130,24,Intel Smart Cache,N/A
Xeon E7-8867L,Discontinued,Q2'11,10,20,32,2.53,2.13,105,30,Intel Smart Cache,N/A
Xeon E7-8870,Discontinued,Q2'11,10,20,32,2.8,2.4,130,30,Intel Smart Cache,N/A
Xeon E5-2699A v4,Launched,Q4'16,22,44,14,3.6,2.4,145,55,N/A,N/A
Xeon E5-2699R v4,Launched,Q4'16,22,44,14,3.5,2.2,145,55,N/A,N/A
Xeon E5-4610 v4,Launched,Q2'16,10,20,14,1.8,1.8,105,25,N/A,N/A
Xeon E5-4620 v4,Launched,Q2'16,10,20,14,2.6,2.1,105,25,N/A,N/A
Xeon E5-4627 v4,Launched,Q2'16,10,10,14,3.2,2.6,135,25,N/A,N/A
Xeon E5-4628L v4,Launched,Q2'16,14,28,14,2.2,1.8,75,35,N/A,N/A
Xeon E5-4640 v4,Launched,Q2'16,12,24,14,2.6,2.1,105,30,N/A,N/A
Xeon E5-4650 v4,Launched,Q2'16,14,28,14,2.8,2.2,105,35,N/A,N/A
Xeon E5-4655 v4,Launched,Q2'16,8,16,14,3.2,2.5,135,30,N/A,N/A
Xeon E5-4660 v4,Launched,Q2'16,16,32,14,3,2.2,120,40,N/A,N/A
Xeon E5-4667 v4,Launched,Q2'16,18,36,14,3,2.2,135,45,N/A,N/A
Xeon E5-4669 v4,Launched,Q2'16,22,44,14,3,2.2,135,55,N/A,N/A
Xeon E5-1620 v4,Launched,Q2'16,4,8,14,3.8,3.5,140,10,N/A,N/A
Xeon E5-1630 v4,Launched,Q2'16,4,8,14,4,3.7,140,10,N/A,N/A
Xeon E5-1650 v4,Launched,Q2'16,6,12,14,4,3.6,140,15,N/A,N/A
Xeon E5-1660 v4,Launched,Q2'16,8,16,14,3.8,3.2,140,20,N/A,N/A
Xeon E5-1680 v4,Launched,Q2'16,8,16,14,4,3.4,140,20,N/A,N/A
Xeon E5-2603 v4,Launched,Q1'16,6,6,14,N/A,1.7,85,15,Intel Smart Cache,N/A
Xeon E5-2608L v4,Launched,Q1'16,8,16,14,1.7,1.6,50,20,Intel Smart Cache,N/A
Xeon E5-2609 v4,Launched,Q1'16,8,8,14,N/A,1.7,85,20,Intel Smart Cache,N/A
Xeon E5-2618L v4,Launched,Q1'16,10,20,14,3.2,2.2,75,25,Intel Smart Cache,N/A
Xeon E5-2620 v4,Launched,Q1'16,8,16,14,3,2.1,85,20,Intel Smart Cache,N/A
Xeon E5-2623 v4,Launched,Q1'16,4,8,14,3.2,2.6,85,10,Intel Smart Cache,N/A
Xeon E5-2628L v4,Launched,Q1'16,12,24,14,2.4,1.9,75,30,Intel Smart Cache,N/A
Xeon E5-2630 v4,Launched,Q1'16,10,20,14,3.1,2.2,85,25,Intel Smart Cache,N/A
Xeon E5-2630L v4,Launched,Q1'16,10,20,14,2.9,1.8,55,25,Intel Smart Cache,N/A
Xeon E5-2637 v4,Launched,Q1'16,4,8,14,3.7,3.5,135,15,Intel Smart Cache,N/A
Xeon E5-2640 v4,Launched,Q1'16,10,20,14,3.4,2.4,90,25,Intel Smart Cache,N/A
Xeon E5-2643 v4,Launched,Q1'16,6,12,14,3.7,3.4,135,20,Intel Smart Cache,N/A
Xeon E5-2648L v4,Launched,Q1'16,14,28,14,2.5,1.8,75,35,Intel Smart Cache,N/A
Xeon E5-2650 v4,Launched,Q1'16,12,24,14,2.9,2.2,105,30,Intel Smart Cache,N/A
Xeon E5-2650L v4,Launched,Q1'16,14,28,14,2.5,1.7,65,35,Intel Smart Cache,N/A
Xeon E5-2658 v4,Launched,Q1'16,14,28,14,2.8,2.3,105,35,Intel Smart Cache,N/A
Xeon E5-2660 v4,Launched,Q1'16,14,28,14,3.2,2,105,35,N/A,N/A
Xeon E5-2667 v4,Launched,Q1'16,8,16,14,3.6,3.2,135,25,Intel Smart Cache,N/A
Xeon E5-2680 v4,Launched,Q1'16,14,28,14,3.3,2.4,120,35,Intel Smart Cache,N/A
Xeon E5-2683 v4,Launched,Q1'16,16,32,14,3,2.1,120,40,Intel Smart Cache,N/A
Xeon E5-2687W v4,Launched,Q1'16,12,24,14,3.5,3,160,30,Intel Smart Cache,N/A
Xeon E5-2690 v4,Launched,Q1'16,14,28,14,3.5,2.6,135,35,Intel Smart Cache,N/A
Xeon E5-2695 v4,Launched,Q1'16,18,36,14,3.3,2.1,120,45,Intel Smart Cache,N/A
Xeon E5-2697 v4,Launched,Q1'16,18,36,14,3.6,2.3,145,45,Intel Smart Cache,N/A
Xeon E5-2697A v4,Launched,Q1'16,16,32,14,3.6,2.6,145,40,Intel Smart Cache,N/A
Xeon E5-2698 v4,Launched,Q1'16,20,40,14,3.6,2.2,135,50,Intel Smart Cache,N/A
Xeon E5-2699 v4,Launched,Q1'16,22,44,14,3.6,2.2,145,55,Intel Smart Cache,N/A
Xeon E5-4610 v3,Discontinued,Q2'15,10,20,22,1.7,1.7,105,25,N/A,N/A
Xeon E5-4620 v3,Discontinued,Q2'15,10,20,22,2.6,2,105,25,N/A,N/A
Xeon E5-4627 v3,Discontinued,Q2'15,10,10,22,3.2,2.6,135,25,N/A,N/A
Xeon E5-4640 v3,Discontinued,Q2'15,12,24,22,2.6,1.9,105,30,N/A,N/A
Xeon E5-4648 v3,Launched,Q2'15,12,24,22,2.2,1.7,105,30,N/A,N/A
Xeon E5-4650 v3,Discontinued,Q2'15,12,24,22,2.8,2.1,105,30,N/A,N/A
Xeon E5-4655 v3,Discontinued,Q2'15,6,12,22,3.2,2.9,135,30,N/A,N/A
Xeon E5-4660 v3,Discontinued,Q2'15,14,28,22,2.9,2.1,120,35,N/A,N/A
Xeon E5-4667 v3,Discontinued,Q2'15,16,32,22,2.9,2,135,40,N/A,N/A
Xeon E5-4669 v3,Discontinued,Q2'15,18,36,22,2.9,2.1,135,45,N/A,N/A
Xeon E5-2658A v3,Launched,Q1'15,12,24,22,2.9,2.2,105,30,Intel Smart Cache,N/A
Xeon E5-1428L v3,Launched,Q1'15,8,16,22,N/A,2,65,20,N/A,N/A
Xeon E5-2408L v3,Launched,Q1'15,4,8,22,N/A,1.8,45,10,N/A,N/A
Xeon E5-2418L v3,Launched,Q1'15,6,12,22,N/A,2,50,15,N/A,N/A
Xeon E5-2428L v3,Launched,Q1'15,8,16,22,N/A,1.8,55,20,N/A,N/A
Xeon E5-2438L v3,Launched,Q1'15,10,20,22,N/A,1.8,70,25,N/A,N/A
Xeon E5-1620 v3,Discontinued,Q3'14,4,8,22,3.6,3.5,140,10,Intel Smart Cache,N/A
Xeon E5-1630 v3,Discontinued,Q3'14,4,8,22,3.8,3.7,140,10,Intel Smart Cache,N/A
Xeon E5-1650 v3,Discontinued,Q3'14,6,12,22,3.8,3.5,140,15,Intel Smart Cache,N/A
Xeon E5-1660 v3,Discontinued,Q3'14,8,16,22,3.5,3,140,20,Intel Smart Cache,N/A
Xeon E5-1680 v3,Discontinued,Q3'14,8,16,22,3.8,3.2,140,20,Intel Smart Cache,N/A
Xeon E5-2603 v3,Discontinued,Q3'14,6,6,22,N/A,1.6,85,15,Intel Smart Cache,N/A
Xeon E5-2608L v3,Launched,Q3'14,6,12,22,N/A,2,52,15,Intel Smart Cache,N/A
Xeon E5-2609 v3,Discontinued,Q3'14,6,6,22,N/A,1.9,85,15,Intel Smart Cache,N/A
Xeon E5-2618L v3,Launched,Q3'14,8,16,22,3.4,2.3,75,20,Intel Smart Cache,N/A
Xeon E5-2620 v3,Launched,Q3'14,6,12,22,3.2,2.4,85,15,Intel Smart Cache,N/A
Xeon E5-2623 v3,Discontinued,Q3'14,4,8,22,3.5,3,105,10,Intel Smart Cache,N/A
Xeon E5-2628L v3,Launched,Q3'14,10,20,22,2.5,2,75,25,Intel Smart Cache,N/A
Xeon E5-2630 v3,Discontinued,Q3'14,8,16,22,3.2,2.4,85,20,Intel Smart Cache,N/A
Xeon E5-2630L v3,Discontinued,Q3'14,8,16,22,2.9,1.8,55,20,Intel Smart Cache,N/A
Xeon E5-2637 v3,Discontinued,Q3'14,4,8,22,3.7,3.5,135,15,Intel Smart Cache,N/A
Xeon E5-2640 v3,Launched,Q3'14,8,16,22,3.4,2.6,90,20,Intel Smart Cache,N/A
Xeon E5-2643 v3,Discontinued,Q3'14,6,12,22,3.7,3.4,135,20,Intel Smart Cache,N/A
Xeon E5-2648L v3,Launched,Q3'14,12,24,22,2.5,1.8,75,30,Intel Smart Cache,N/A
Xeon E5-2650 v3,Discontinued,Q3'14,10,20,22,3,2.3,105,25,Intel Smart Cache,N/A
Xeon E5-2650L v3,Discontinued,Q3'14,12,24,22,2.5,1.8,65,30,Intel Smart Cache,N/A
Xeon E5-2658 v3,Launched,Q3'14,12,24,22,2.9,2.2,105,30,Intel Smart Cache,N/A
Xeon E5-2660 v3,Discontinued,Q3'14,10,20,22,3.3,2.6,105,25,Intel Smart Cache,N/A
Xeon E5-2667 v3,Discontinued,Q3'14,8,16,22,3.6,3.2,135,20,Intel Smart Cache,N/A
Xeon E5-2670 v3,Discontinued,Q3'14,12,24,22,3.1,2.3,120,30,Intel Smart Cache,N/A
Xeon E5-2680 v3,Launched,Q3'14,12,24,22,3.3,2.5,120,30,Intel Smart Cache,N/A
Xeon E5-2683 v3,Discontinued,Q3'14,14,28,22,3,2,120,35,Intel Smart Cache,N/A
Xeon E5-2687W v3,Discontinued,Q3'14,10,20,22,3.5,3.1,160,25,Intel Smart Cache,N/A
Xeon E5-2690 v3,Discontinued,Q3'14,12,24,22,3.5,2.6,135,30,Intel Smart Cache,N/A
Xeon E5-2695 v3,Discontinued,Q3'14,14,28,22,3.3,2.3,120,35,Intel Smart Cache,N/A
Xeon E5-2697 v3,Discontinued,Q3'14,14,28,22,3.6,2.6,145,35,Intel Smart Cache,N/A
Xeon E5-2698 v3,Discontinued,Q3'14,16,32,22,3.6,2.3,135,40,Intel Smart Cache,N/A
Xeon E5-2699 v3,Discontinued,Q3'14,18,36,22,3.6,2.3,145,45,Intel Smart Cache,N/A
Xeon E5-4603 v2,Discontinued,Q1'14,4,8,22,2.2,2.2,95,10,Intel Smart Cache,N/A
Xeon E5-4607 v2,Discontinued,Q1'14,6,12,22,2.6,2.6,95,15,Intel Smart Cache,N/A
Xeon E5-4610 v2,Discontinued,Q1'14,8,16,22,2.7,2.3,95,16,Intel Smart Cache,N/A
Xeon E5-4620 v2,Discontinued,Q1'14,8,16,22,3,2.6,95,20,Intel Smart Cache,N/A
Xeon E5-4624 v2,Launched,Q1'14,10,20,22,2.5,1.9,70,25,Intel Smart Cache,N/A
Xeon E5-4627 v2,Discontinued,Q1'14,8,8,22,3.6,3.3,130,16,Intel Smart Cache,N/A
Xeon E5-4640 v2,Discontinued,Q1'14,10,20,22,2.7,2.2,95,20,Intel Smart Cache,N/A
Xeon E5-4650 v2,Discontinued,Q1'14,10,20,22,2.9,2.4,95,25,Intel Smart Cache,N/A
Xeon E5-4657L v2,Discontinued,Q1'14,12,24,22,2.9,2.4,115,30,Intel Smart Cache,N/A
Xeon E5-1428L v2,Launched,Q1'14,6,12,22,2.7,2.2,60,15,Intel Smart Cache,N/A
Xeon E5-2403 v2,Discontinued,Q1'14,4,4,22,1.8,1.8,80,10,Intel Smart Cache,N/A
Xeon E5-2407 v2,Discontinued,Q1'14,4,4,22,2.4,2.4,80,10,Intel Smart Cache,N/A
Xeon E5-2418L v2,Launched,Q1'14,6,12,22,2,2,50,15,Intel Smart Cache,N/A
Xeon E5-2420 v2,Discontinued,Q1'14,6,12,22,2.7,2.2,80,15,Intel Smart Cache,N/A
Xeon E5-2428L v2,Launched,Q1'14,8,16,22,2.3,1.8,60,20,Intel Smart Cache,N/A
Xeon E5-2430 v2,Discontinued,Q1'14,6,12,22,3,2.5,80,15,Intel Smart Cache,N/A
Xeon E5-2430 v2,Discontinued,Q1'14,6,12,22,2.8,2.4,60,15,Intel Smart Cache,N/A
Xeon E5-2440 v2,Discontinued,Q1'14,8,16,22,2.4,1.9,95,20,Intel Smart Cache,N/A
Xeon E5-2448L v2,Launched,Q1'14,10,20,22,2.4,1.8,70,25,Intel Smart Cache,N/A
Xeon E5-2450 v2,Discontinued,Q1'14,8,16,22,3.3,2.5,95,20,Intel Smart Cache,N/A
Xeon E5-2450L v2,Discontinued,Q1'14,10,20,22,2.1,1.7,60,25,Intel Smart Cache,N/A
Xeon E5-2470 v2,Discontinued,Q1'14,10,20,22,3.2,2.4,95,25,Intel Smart Cache,N/A
Xeon E5-1620 v2,Discontinued,Q3'13,4,8,22,3.9,3.7,130,10,Intel Smart Cache,N/A
Xeon E5-1650 v2,Discontinued,Q3'13,6,12,22,3.9,3.5,130,12,Intel Smart Cache,N/A
Xeon E5-1660 v2,Discontinued,Q3'13,6,12,22,4,3.7,130,15,Intel Smart Cache,N/A
Xeon E5-2603 v2,Discontinued,Q3'13,4,4,22,N/A,1.8,80,10,Intel Smart Cache,N/A
Xeon E5-2609 v2,Discontinued,Q3'13,4,4,22,2.5,2.5,80,10,Intel Smart Cache,N/A
Xeon E5-2618L v2,Launched,Q3'13,6,12,22,2,2,50,15,Intel Smart Cache,N/A
Xeon E5-2620 v2,Discontinued,Q3'13,6,12,22,2.6,2.1,80,15,Intel Smart Cache,N/A
Xeon E5-2628L v2,Launched,Q3'13,8,16,22,2.4,1.9,70,20,Intel Smart Cache,N/A
Xeon E5-2630 v2,Discontinued,Q3'13,6,12,22,3.1,2.6,80,15,Intel Smart Cache,N/A
Xeon E5-2630L v2,Discontinued,Q3'13,6,12,22,2.8,2.4,60,15,Intel Smart Cache,N/A
Xeon E5-2637 v2,Discontinued,Q3'13,4,8,22,3.8,3.5,130,15,Intel Smart Cache,N/A
Xeon E5-2640 v2,Discontinued,Q3'13,8,16,22,2.5,2,95,20,Intel Smart Cache,N/A
Xeon E5-2643 v2,Discontinued,Q3'13,6,12,22,3.8,3.5,130,25,Intel Smart Cache,N/A
Xeon E5-2648L v2,Launched,Q3'13,10,20,22,2.5,1.9,70,25,Intel Smart Cache,N/A
Xeon E5-2650 v2,Discontinued,Q3'13,8,16,22,3.4,2.6,95,20,Intel Smart Cache,N/A
Xeon E5-2650L v2,Discontinued,Q3'13,10,20,22,2.1,1.7,70,25,Intel Smart Cache,N/A
Xeon E5-2658 v2,Launched,Q3'13,10,20,22,3,2.4,95,25,Intel Smart Cache,N/A
Xeon E5-2660 v2,Discontinued,Q3'13,10,20,22,3,2.2,95,25,Intel Smart Cache,N/A
Xeon E5-2667 v2,Discontinued,Q3'13,8,16,22,4,3.3,130,25,Intel Smart Cache,N/A
Xeon E5-2670 v2,Discontinued,Q3'13,10,20,22,3,2.5,115,25,Intel Smart Cache,N/A
Xeon E5-2680 v2,Discontinued,Q3'13,10,20,22,3.6,2.8,115,25,Intel Smart Cache,N/A
Xeon E5-2687W v2,Discontinued,Q3'13,8,16,22,4,3.4,150,25,Intel Smart Cache,N/A
Xeon E5-2690 v2,Discontinued,Q3'13,10,20,22,3.6,3,130,25,Intel Smart Cache,N/A
Xeon E5-2695 v2,Discontinued,Q3'13,12,24,22,3.2,2.4,115,30,Intel Smart Cache,N/A
Xeon E5-2697 v2,Discontinued,Q3'13,12,24,22,3.5,2.7,130,30,Intel Smart Cache,N/A
Xeon E5-1428L,Discontinued,Q2'12,6,12,32,N/A,1.8,60,15,L3 Cache,N/A
Xeon E5-2403,Discontinued,Q2'12,4,4,32,N/A,1.8,80,10,Intel Smart Cache,N/A
Xeon E5-2407,Discontinued,Q2'12,4,4,32,N/A,2.2,80,10,Intel Smart Cache,N/A
Xeon E5-2418L,Launched,Q2'12,4,8,32,2.1,2,50,10,Intel Smart Cache,N/A
Xeon E5-2420,Discontinued,Q2'12,6,12,32,2.4,1.9,95,15,Intel Smart Cache,N/A
Xeon E5-2428L,Discontinued,Q2'12,6,12,32,2,1.8,60,15,Intel Smart Cache,N/A
Xeon E5-2430,Discontinued,Q2'12,6,12,32,2.7,2.2,95,15,Intel Smart Cache,N/A
Xeon E5-2430L,Discontinued,Q2'12,6,12,32,2.5,2,60,15,Intel Smart Cache,N/A
Xeon E5-2440,Discontinued,Q2'12,6,12,32,2.9,2.4,95,15,Intel Smart Cache,N/A
Xeon E5-2448L,Launched,Q2'12,8,16,32,2.1,1.8,70,20,Intel Smart Cache,N/A
Xeon E5-2450,Discontinued,Q2'12,8,16,32,2.9,2.1,95,20,Intel Smart Cache,N/A
Xeon E5-2450L,Discontinued,Q2'12,8,16,32,2.3,1.8,70,20,Intel Smart Cache,N/A
Xeon E5-2470,Discontinued,Q2'12,8,16,32,3.1,2.3,95,20,Intel Smart Cache,N/A
Xeon E5-4603,Discontinued,Q2'12,4,8,32,N/A,2,95,10,Intel Smart Cache,N/A
Xeon E5-4607,Discontinued,Q2'12,6,12,32,N/A,2.2,95,12,Intel Smart Cache,N/A
Xeon E5-4610,Discontinued,Q2'12,6,12,32,2.9,2.4,95,15,Intel Smart Cache,N/A
Xeon E5-4617,Discontinued,Q2'12,6,6,32,3.4,2.9,130,15,Intel Smart Cache,N/A
Xeon E5-4620,Discontinued,Q2'12,8,16,32,2.6,2.2,95,16,Intel Smart Cache,N/A
Xeon E5-4640,Discontinued,Q2'12,8,16,32,2.8,2.4,95,20,Intel Smart Cache,N/A
Xeon E5-4650,Discontinued,Q2'12,8,16,32,3.3,2.7,130,20,Intel Smart Cache,N/A
Xeon E5-4650L,Discontinued,Q2'12,8,16,32,3.1,2.6,115,20,Intel Smart Cache,N/A
Xeon E5-1620,Discontinued,Q1'12,4,8,32,3.8,3.6,130,10,Intel Smart Cache,N/A
Xeon E5-1650,Discontinued,Q1'12,6,12,32,3.8,3.2,130,12,Intel Smart Cache,N/A
Xeon E5-1660,Discontinued,Q1'12,6,12,32,3.9,3.3,130,15,Intel Smart Cache,N/A
Xeon E5-2603,Discontinued,Q1'12,4,4,32,N/A,1.8,80,10,Intel Smart Cache,N/A
Xeon E5-2609,Discontinued,Q1'12,4,4,32,N/A,2.4,80,10,Intel Smart Cache,N/A
Xeon E5-2620,Discontinued,Q1'12,6,12,32,2.5,2,95,15,Intel Smart Cache,N/A
Xeon E5-2630,Discontinued,Q1'12,6,12,32,2.8,2.3,95,15,Intel Smart Cache,N/A
Xeon E5-2630L,Discontinued,Q1'12,6,12,32,2.5,2,60,15,Intel Smart Cache,N/A
Xeon E5-2637,Discontinued,Q1'12,2,4,32,3.5,3,80,5,Intel Smart Cache,N/A
Xeon E5-2640,Discontinued,Q1'12,6,12,32,3,2.5,95,15,Intel Smart Cache,N/A
Xeon E5-2643,Discontinued,Q1'12,4,8,32,3.5,3.3,130,10,Intel Smart Cache,N/A
Xeon E5-2648L,Discontinued,Q1'12,8,16,32,2.1,1.8,70,20,Intel Smart Cache,N/A
Xeon E5-2650,Discontinued,Q1'12,8,16,32,2.8,2,95,20,Intel Smart Cache,N/A
Xeon E5-2650L,Discontinued,Q1'12,8,16,32,2.3,1.8,70,20,Intel Smart Cache,N/A
Xeon E5-2658,Discontinued,Q1'12,8,16,32,2.4,2.1,95,20,Intel Smart Cache,N/A
Xeon E5-2660,Discontinued,Q1'12,8,16,32,3,2.2,95,20,Intel Smart Cache,N/A
Xeon E5-2665,Discontinued,Q1'12,8,16,32,3.1,2.4,115,20,Intel Smart Cache,N/A
Xeon E5-2667,Discontinued,Q1'12,6,12,32,3.5,2.9,130,15,Intel Smart Cache,N/A
Xeon E5-2670,Discontinued,Q1'12,8,16,32,3.3,2.6,115,20,Intel Smart Cache,N/A
Xeon E5-2680,Discontinued,Q1'12,8,16,32,3.5,2.7,130,20,Intel Smart Cache,N/A
Xeon E5-2687W,Discontinued,Q1'12,8,16,32,3.8,3.1,150,20,Intel Smart Cache,N/A
Xeon E5-2690,Discontinued,Q1'12,8,16,32,3.8,2.9,135,20,Intel Smart Cache,N/A
Xeon E3-1285 v6,Launched,Q3'17,4,8,14,4.5,4.1,79,8,Intel Smart Cache,Intel HD P630 Graphics
Xeon E3-1501L v6,Launched,Q2'17,4,4,14,2.9,2.1,25,6,N/A,Intel HD P630 Graphics
Xeon E3-1501M v6,Launched,Q2'17,4,4,14,3.6,2.9,45,6,N/A,Intel HD P630 Graphics
Xeon E3-1220 v6,Launched,Q1'17,4,4,14,3.5,3,72,8,Intel Smart Cache,N/A
Xeon E3-1225 v6,Launched,Q1'17,4,4,14,3.7,3.3,73,8,Intel Smart Cache,Intel HD P630 Graphics
Xeon E3-1230 v6,Launched,Q1'17,4,8,14,3.9,3.5,72,8,Intel Smart Cache,N/A
Xeon E3-1240 v6,Launched,Q1'17,4,8,14,4.1,3.7,72,8,Intel Smart Cache,N/A
Xeon E3-1245 v6,Launched,Q1'17,4,8,14,4.1,3.7,73,8,Intel Smart Cache,Intel HD P630 Graphics
Xeon E3-1270 v6,Launched,Q1'17,4,8,14,4.2,3.8,72,8,Intel Smart Cache,N/A
Xeon E3-1275 v6,Launched,Q1'17,4,8,14,4.2,3.8,73,8,Intel Smart Cache,Intel HD P630 Graphics
Xeon E3-1280 v6,Launched,Q1'17,4,8,14,4.2,3.9,72,8,Intel Smart Cache,N/A
Xeon E3-1505L v6,Launched,Q1'17,4,8,14,3,2.2,25,8,N/A,Intel HD P630 Graphics
Xeon E3-1505M v6,Launched,Q1'17,4,8,14,4,3,45,8,N/A,Intel HD P630 Graphics
Xeon E3-1535M v6,Launched,Q1'17,4,8,14,4.2,3.1,45,8,N/A,Intel HD P630 Graphics
Xeon E3-1558L v5,Discontinued,Q2'16,4,8,14,3.3,1.9,45,8,N/A,Name Unknown
Xeon E3-1565L v5,Discontinued,Q2'16,4,8,14,3.5,2.5,35,8,N/A,Intel Iris Pro P580 Graphics
Xeon E3-1578L v5,Launched,Q2'16,4,8,14,3.4,2,45,8,N/A,Intel Iris Pro P580 Graphics
Xeon E3-1585 v5,Discontinued,Q2'16,4,8,14,3.9,3.5,65,8,N/A,Intel Iris Pro P580 Graphics
