Product,Status,Release Date,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Integrated Graphics
Xeon E-2374G,Launched,Q3'21,4,8,14,5,3.7,80,8,Intel Smart Cache,Intel UHD Graphics P750
Xeon E-2378,Launched,Q3'21,8,16,14,4.8,2.6,65,16,Intel Smart Cache,N/A
Xeon E-2378G,Launched,Q3'21,8,16,14,5.1,2.8,80,16,Intel Smart Cache,Intel UHD Graphics P750
Xeon E-2386G,Launched,Q3'21,6,12,14,5.1,3.5,95,12,Intel Smart Cache,Intel UHD Graphics P750
Xeon E-2388G,Launched,Q3'21,8,16,14,5.1,3.2,95,16,Intel Smart Cache,Intel UHD Graphics P750
Xeon E-2226GE,Launched,Q2'19,6,6,14,4.6,3.4,80,12,Intel Smart Cache,Intel UHD 630 Graphics
Xeon E-2254ME,Launched,Q2'19,4,8,14,3.8,2.6,45,8,N/A,Intel UHD Graphics P630
Xeon E-2254ML,Launched,Q2'19,4,8,14,3.5,1.7,25,8,N/A,Intel UHD Graphics P630
Xeon E-2276ME,Launched,Q2'19,6,12,14,4.5,2.8,45,12,N/A,Intel UHD Graphics P630
Xeon E-2276ML,Launched,Q2'19,6,12,14,4.2,2,25,12,N/A,Intel UHD Graphics P630
Xeon E-2278GE,Launched,Q2'19,8,16,14,4.7,3.3,80,16,N/A,Intel UHD 630 Graphics
Xeon E-2278GEL,Launched,Q2'19,8,16,14,3.9,2,35,16,N/A,Intel UHD 630 Graphics
Xeon E-2224,Launched,Q2'19,4,4,14,4.6,3.4,71,8,Intel Smart Cache,N/A
Xeon E-2224G,Launched,Q2'19,4,4,14,4.7,3.5,71,8,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2226G,Launched,Q2'19,6,6,14,4.7,3.4,80,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2234,Launched,Q2'19,4,8,14,4.8,3.5,71,8,Intel Smart Cache,N/A
Xeon E-2236,Launched,Q2'19,6,12,14,4.8,3.4,80,12,Intel Smart Cache,N/A
Xeon E-2244G,Launched,Q2'19,4,8,14,4.8,3.8,71,8,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2246G,Launched,Q2'19,6,12,14,4.8,3.6,80,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2274G,Launched,Q2'19,4,8,14,4.9,4,83,8,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2276G,Launched,Q2'19,6,12,14,4.9,3.8,80,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2276M,Launched,Q2'19,6,12,14,4.7,2.8,45,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2278G,Launched,Q2'19,8,16,14,5,3.4,80,16,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2286G,Launched,Q2'19,6,12,14,4.9,4,95,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2286M,Launched,Q2'19,8,16,14,5,2.4,45,16,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2288G,Launched,Q2'19,8,16,14,5,3.7,95,16,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2124,Launched,Q3'18,4,4,14,4.3,3.3,71,8,Intel Smart Cache,N/A
Xeon E-2124G,Launched,Q3'18,4,4,14,4.5,3.4,71,8,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2126G,Launched,Q3'18,6,6,14,4.5,3.3,80,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2134,Launched,Q3'18,4,8,14,4.5,3.5,71,8,Intel Smart Cache,N/A
Xeon E-2136,Launched,Q3'18,6,12,14,4.5,3.3,80,12,Intel Smart Cache,N/A
Xeon E-2144G,Launched,Q3'18,4,8,14,4.5,3.6,71,8,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2146G,Launched,Q3'18,6,12,14,4.5,3.5,80,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2174G,Launched,Q3'18,4,8,14,4.7,3.8,71,8,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2176G,Launched,Q3'18,6,12,14,4.7,3.7,80,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2186G,Launched,Q3'18,6,12,14,4.7,3.8,95,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2176M,Launched,Q2'18,6,12,14,4.4,2.7,45,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2186M,Launched,Q2'18,6,12,14,4.8,2.9,45,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon W3-2423,Launched,Q1'23,6,12,7,4.2,2.1,120,15,Intel Smart Cache,N/A
Xeon W3-2425,Launched,Q1'23,6,12,7,4.4,3,130,15,Intel Smart Cache,N/A
Xeon W3-2435,Launched,Q1'23,8,16,7,4.5,3.1,165,22.5,Intel Smart Cache,N/A
Xeon W5-2445,Launched,Q1'23,10,20,7,4.6,3.1,175,26.25,Intel Smart Cache,N/A
Xeon W5-2455X,Launched,Q1'23,12,24,7,4.6,3.2,200,30,Intel Smart Cache,N/A
Xeon W5-2465X,Launched,Q1'23,16,32,7,4.7,3.1,200,33.75,Intel Smart Cache,N/A
Xeon W5-3425,Launched,Q1'23,12,24,7,4.6,3.2,270,30,Intel Smart Cache,N/A
Xeon W5-3435X,Launched,Q1'23,16,32,7,4.7,3.1,270,45,Intel Smart Cache,N/A
Xeon W7-2475X,Launched,Q1'23,20,40,7,4.8,2.6,225,37.5,Intel Smart Cache,N/A
Xeon W7-2495X,Launched,Q1'23,24,48,7,4.8,2.5,225,45,Intel Smart Cache,N/A
Xeon W7-3445,Launched,Q1'23,20,40,7,4.8,2.6,270,52.5,Intel Smart Cache,N/A
Xeon W7-3455,Launched,Q1'23,24,48,7,4.8,2.5,270,67.5,Intel Smart Cache,N/A
Xeon W7-3465X,Launched,Q1'23,28,56,7,4.8,2.5,300,75,Intel Smart Cache,N/A
Xeon W9-3475X,Launched,Q1'23,36,72,7,4.8,2.2,300,82.5,Intel Smart Cache,N/A
Xeon W9-3495X,Launched,Q1'23,56,112,7,4.8,1.9,350,105,Intel Smart Cache,N/A
Xeon W-11155MLE,Launched,Q3'21,4,8,10,3.1,1.8,25,8,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Xeon W-11155MRE,Launched,Q3'21,4,8,10,4.4,2.4,45,8,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Xeon W-11555MLE,Launched,Q3'21,6,12,10,4.4,1.9,25,12,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Xeon W-11555MRE,Launched,Q3'21,6,12,10,4.5,2.6,45,12,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Xeon W-11865MLE,Launched,Q3'21,8,16,10,4.5,1.5,25,24,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Xeon W-11865MRE,Launched,Q3'21,8,16,10,4.7,2.6,45,24,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Xeon W-3323,Launched,Q3'21,12,24,10,3.9,3.5,220,21,N/A,N/A
Xeon W-3335,Launched,Q3'21,16,32,10,4,3.4,250,24,N/A,N/A
Xeon W-3345,Launched,Q3'21,24,48,10,4,3,250,36,N/A,N/A
Xeon W-3365,Launched,Q3'21,32,64,10,4,2.7,270,48,N/A,N/A
Xeon W-3375,Launched,Q3'21,38,76,10,4,2.5,270,57,N/A,N/A
Xeon W-11855M,Launched,Q2'21,6,12,10,4.8,3.2,45,18,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Xeon W-11955M,Launched,Q2'21,8,16,10,5,2.6,45,24,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Xeon W-1350,Launched,Q2'21,6,12,14,5,3.3,80,12,Intel Smart Cache,Intel UHD Graphics P750
Xeon W-1350P,Launched,Q2'21,6,12,14,5.1,4,125,12,Intel Smart Cache,Intel UHD Graphics P750
Xeon W-1370,Launched,Q2'21,8,16,14,5.1,2.9,80,16,Intel Smart Cache,Intel UHD Graphics P750
Xeon W-1370P,Launched,Q2'21,8,16,14,5.2,3.6,125,16,Intel Smart Cache,Intel UHD Graphics P750
Xeon W-1390,Launched,Q2'21,8,16,14,5.2,2.8,80,16,Intel Smart Cache,Intel UHD Graphics P750
Xeon W-1390P,Launched,Q2'21,8,16,14,5.3,3.5,125,16,Intel Smart Cache,Intel UHD Graphics P750
Xeon W-1390T,Launched,Q2'21,8,16,14,4.9,1.5,35,16,Intel Smart Cache,Intel UHD Graphics P750
Xeon W-10855M,Launched,Q2'20,6,12,14,5.1,2.8,45,12,Intel Smart Cache,Intel UHD Graphics for 10th Gen Intel Core Processors
Xeon W-10885M,Launched,Q2'20,8,16,14,5.3,2.4,45,16,Intel Smart Cache,Intel UHD Graphics for 10th Gen Intel Core Processors
Xeon W-1250,Launched,Q2'20,6,12,14,4.7,3.3,80,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1250E,Launched,Q2'20,6,12,14,4.7,3.5,80,12,Intel Smart Cache,Intel UHD 630 Graphics
Xeon W-1250P,Launched,Q2'20,6,12,14,4.8,4.1,125,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1250TE,Launched,Q2'20,6,12,14,3.8,2.4,35,12,Intel Smart Cache,Intel UHD 630 Graphics
