Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Core i3-6100TE,Launched,Q4'15,2,N/A,2.70,4,Intel Smart Cache,Intel HD 530 Graphics
Core i3-6006U,Launched,Q4'16,2,N/A,2.00,3,Intel Smart Cache,Intel HD 520 Graphics
Core i3-6098P,Discontinued,Q4'15,2,N/A,3.60,3,N/A,Intel HD 510 Graphics
Core i3-5157U,Launched,Q1'15,2,N/A,2.50,3,N/A,Intel Iris 6100 Graphics
Core i3-5020U,Launched,Q1'15,2,N/A,2.20,3,N/A,Intel HD 5500 Graphics
Core i3-5015U,Launched,Q1'15,2,N/A,2.10,3,N/A,Intel HD 5500 Graphics
Core i3-5010U,Launched,Q1'15,2,N/A,2.10,3,N/A,Intel HD 5500 Graphics
Core i3-5005U,Launched,Q1'15,2,N/A,2.00,3,N/A,Intel HD 5500 Graphics
Core i3-4330,Launched,Q3'13,2,N/A,3.50,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4330T,Discontinued,Q3'13,2,N/A,3.00,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4300TE,Launched,Q3'13,2,N/A,2.40,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4340,Discontinued,Q3'13,2,N/A,3.60,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4340TE,Launched,Q2'14,2,N/A,2.60,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4350,Discontinued,Q2'14,2,N/A,3.60,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4350T,Launched,Q2'14,2,N/A,3.10,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4360,Launched,Q2'14,2,N/A,3.70,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4360T,Discontinued,Q3'14,2,N/A,3.20,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4370,Discontinued,Q3'14,2,N/A,3.80,4,Intel Smart Cache,Intel HD 4600 Graphics
