Product,Status,Release Date,Code Name,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Xeon D-2832NT,Launched,Q4'23,Ice Lake,8,16,N/A,3.20,2.10,70,15,N/A,1024,DDR4,2667,N/A
Xeon D-2843NT,Launched,Q4'23,Ice Lake,10,20,N/A,3.20,2.00,80,15,N/A,1024,DDR4,2667,N/A
Xeon D-2876NT,Launched,Q4'23,Ice Lake,16,32,N/A,3.10,2.00,100,20,N/A,1024,DDR4,2933,N/A
Xeon D-2896NT,Launched,Q4'23,Ice Lake,20,40,N/A,3.20,2.00,117,30,N/A,1024,DDR4,2933,N/A
Xeon D-2896TER,Launched,Q4'23,Ice Lake,20,40,N/A,3.20,2.00,110,30,N/A,1024,DDR4,2933,N/A
Xeon D-2899NT,Launched,Q4'23,Ice Lake,22,44,N/A,3.10,2.20,135,30,N/A,1024,DDR4,3200,N/A
Xeon D-2745NX,Launched,Q3'22,Ice Lake,10,20,10,3.50,2.40,96,17.5,N/A,1024,DDR4,2667,N/A
Xeon D-2757NX,Launched,Q3'22,Ice Lake,12,24,10,3.50,2.50,107,20,N/A,1024,DDR4,2667,N/A
Xeon D-2777NX,Launched,Q3'22,Ice Lake,16,32,10,3.30,2.20,116,25,N/A,1024,DDR4,2667,N/A
Xeon D-2798NX,Launched,Q3'22,Ice Lake,20,40,10,3.10,2.10,126,30,N/A,1024,DDR4,2933,N/A
Xeon D-1702,Launched,Q1'22,Ice Lake,2,4,10,1.70,1.60,25,5,N/A,256,DDR4,2400,N/A
Xeon D-1712TR,Launched,Q1'22,Ice Lake,4,8,10,3.10,2.00,40,10,N/A,384,DDR4,2400,N/A
Xeon D-1713NT,Launched,Q1'22,Ice Lake,4,8,10,3.50,2.20,45,10,N/A,256,DDR4,2400,N/A
Xeon D-1713NTE,Launched,Q1'22,Ice Lake,4,8,10,3.30,2.20,45,10,N/A,256,DDR4,2400,N/A
Xeon D-1714,Launched,Q1'22,Ice Lake,4,8,10,3.40,2.30,38,10,N/A,256,DDR4,2667,N/A
Xeon D-1715TER,Launched,Q1'22,Ice Lake,4,8,10,3.50,2.40,50,10,N/A,384,DDR4,2667,N/A
Xeon D-1718T,Launched,Q1'22,Ice Lake,4,8,10,3.50,2.60,46,10,N/A,256,DDR4,2933,N/A
Xeon D-1722NE,Launched,Q1'22,Ice Lake,6,12,10,2.70,1.70,36,10,N/A,256,DDR4,2400,N/A
Xeon D-1726,Launched,Q1'22,Ice Lake,6,12,10,3.50,2.90,70,10,N/A,384,DDR4,2933,N/A
Xeon D-1732TE,Launched,Q1'22,Ice Lake,8,16,10,3.00,1.90,52,15,N/A,384,DDR4,2667,N/A
