Product,Status,Release Date,Code Name,Vertical Segment,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Max Memory Channels,Integrated Graphics,Sockets Supported,Max Operating Temp.(°C)
Core Ultra 5 225H,Launched,Q1'25,Arrow Lake,Mobile,14,14,3,4.90,1.70,115,18,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,2,Intel Arc 130T,FCBGA2049,110
Core Ultra 5 225T,Launched,Q1'25,Arrow Lake,Desktop,10,10,3,4.90,2.50,114,20,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCLGA1851,105
Core Ultra 5 225U,Launched,Q1'25,Arrow Lake,Mobile,12,14,3,4.80,1.50,57,12,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,2,Intel Graphics,FCBGA2049,110
Core Ultra 5 235,Launched,Q1'25,Arrow Lake,Desktop,14,14,3,5.00,3.40,121,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCLGA1851,105
Core Ultra 5 235H,Launched,Q1'25,Arrow Lake,Mobile,14,14,3,5.00,2.40,115,18,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,2,Intel Arc 140T,FCBGA2049,110
Core Ultra 5 235HX,Launched,Q1'25,Arrow Lake,Mobile,14,14,3,5.10,2.90,160,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCBGA2114,105
Core Ultra 5 235T,Launched,Q1'25,Arrow Lake,Desktop,14,14,3,5.00,2.20,114,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCLGA1851,105
Core Ultra 5 235U,Launched,Q1'25,Arrow Lake,Mobile,12,14,3,4.90,2.00,57,12,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,2,Intel Graphics,FCBGA2049,110
Core Ultra 5 245,Launched,Q1'25,Arrow Lake,Desktop,14,14,3,5.10,3.50,121,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCLGA1851,105
Core Ultra 5 245HX,Launched,Q1'25,Arrow Lake,Mobile,14,14,3,5.10,3.10,160,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCBGA2114,105
