Product,Status,Release Date,Code Name,Vertical Segment,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Max Memory Channels,Integrated Graphics,Sockets Supported,Max Operating Temp.(°C)
Atom C2358,Launched,Q3'13,Rangeley,Embedded,2,2,22,2.00,1.70,7,1,N/A,16,DDR3/DDR3L,1333,1,N/A,FCBGA1283,N/A
Atom C2518,Launched,Q3'13,Rangeley,Embedded,4,4,22,N/A,1.70,13,2,N/A,32,DDR3/DDR3L,1333,2,N/A,FCBGA1283,N/A
Atom C2530,Discontinued,Q3'13,Avoton,Server,4,4,22,2.40,1.70,9,2,N/A,32,DDR3/DDR3L,1333,2,N/A,FCBGA1283,97
Atom C2538,Launched,Q3'13,Rangeley,Embedded,4,4,22,N/A,2.40,15,2,N/A,64,DDR3/DDR3L,1600,2,N/A,FCBGA1283,N/A
Atom C2550,Discontinued,Q3'13,Avoton,Server,4,4,22,2.60,2.40,14,2,N/A,64,DDR3/DDR3L,1600,2,N/A,FCBGA1283,96
Atom C2558,Launched,Q3'13,Rangeley,Embedded,4,4,22,N/A,2.40,15,2,N/A,64,DDR3/DDR3L,1600,2,N/A,FCBGA1283,N/A
Atom C2718,Launched,Q3'13,Rangeley,Embedded,8,8,22,N/A,2.00,18,4,N/A,32,DDR3/DDR3L,1333,2,N/A,FCBGA1283,N/A
Atom C2730,Discontinued,Q3'13,Avoton,Server,8,8,22,2.40,1.70,12,4,N/A,32,DDR3/DDR3L,1600,2,N/A,FCBGA1283,97
Atom C2738,Launched,Q3'13,Rangeley,Embedded,8,8,22,N/A,2.40,20,4,N/A,64,DDR3/DDR3L,1600,2,N/A,FCBGA1283,N/A
Atom C2750,Discontinued,Q3'13,Avoton,Server,8,8,22,2.60,2.40,20,4,N/A,64,DDR3/DDR3L,1600,2,N/A,FCBGA1283,97
Atom C2758,Launched,Q3'13,Rangeley,Embedded,8,8,22,N/A,2.40,20,4,N/A,64,DDR3/DDR3L,1600,2,N/A,FCBGA1283,N/A
Atom D2550,Discontinued,Q1'12,Cedarview,Desktop,2,4,32,N/A,1.86,10,1,L2 Cache,4,DDR3,800/1066,1,Name Unknown,FCBGA559,100
Atom D2500,Discontinued,Q3'11,Cedarview,Desktop,2,2,32,N/A,1.86,10,1,L2 Cache,4,DDR3,800/1066,1,Name Unknown,FCBGA559,100
Atom D2700,Discontinued,Q3'11,Cedarview,Desktop,2,4,32,N/A,2.13,10,1,L2 Cache,4,DDR3,800/1066,1,Name Unknown,FCBGA559,100
Atom E3805,Launched,Q4'14,Bay Trail,Embedded,2,2,22,N/A,1.33,3,1,L2 Cache,8,DDR3L,1067,1,N/A,FCBGA1170,110
Atom E3815,Launched,Q4'13,Bay Trail,Embedded,1,1,22,N/A,1.46,5,0.5,L2 Cache,8,DDR3L,1067,1,Intel HD Graphics for Intel Atom Z3700 Processor Series,FCBGA1170,110
Atom E3825,Launched,Q4'13,Bay Trail,Embedded,2,2,22,N/A,1.33,6,1,L2 Cache,8,DDR3L,1067,1,Intel HD Graphics for Intel Atom Z3700 Processor Series,FCBGA1170,110
Atom E3826,Launched,Q4'13,Bay Trail,Embedded,2,2,22,N/A,1.46,7,1,L2 Cache,8,DDR3L,1067,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,FCBGA1170,110
Atom E3827,Launched,Q4'13,Bay Trail,Embedded,2,2,22,N/A,1.75,8,1,L2 Cache,8,DDR3L,1333,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,FCBGA1170,110
Atom E3845,Launched,Q4'13,Bay Trail,Embedded,4,4,22,N/A,1.91,10,2,L2 Cache,8,DDR3L,1333,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,FCBGA1170,110
Atom N2600,Discontinued,Q4'11,Cedarview,Mobile,2,4,32,N/A,1.60,3.5,1,L2 Cache,2.44,DDR3,N/A,1,Name Unknown,FCBGA559,N/A
Atom N2800,Discontinued,Q4'11,Cedarview,Mobile,2,4,32,N/A,1.86,6.5,1,L2 Cache,4.88,DDR3,N/A,1,Name Unknown,FCBGA559,N/A
Atom P5322,Launched,Q2'22,Snow Ridge,Server,8,8,10,N/A,2.20,55,9,N/A,256,DDR4,2400,2,N/A,FCBGA2106,N/A
Atom P5332,Launched,Q2'22,Snow Ridge,Server,12,12,10,N/A,2.20,61,13.5,N/A,256,DDR4,2400,2,N/A,FCBGA2106,N/A
Atom P5342,Launched,Q2'22,Snow Ridge,Server,16,16,10,N/A,2.20,71,18,N/A,256,DDR4,2667,2,N/A,FCBGA2106,N/A
Atom P5352,Launched,Q2'22,Snow Ridge,Server,20,20,10,N/A,2.20,78,22.5,N/A,256,DDR4,2933,2,N/A,FCBGA2106,N/A
Atom P5362,Launched,Q2'22,Snow Ridge,Server,24,24,10,N/A,2.20,83,27,N/A,256,DDR4,2933,2,N/A,FCBGA2106,N/A
Atom P5721,Launched,Q2'22,Snow Ridge,Server,8,8,10,N/A,2.20,48,9,N/A,256,DDR4,2933,2,N/A,FCBGA2106,N/A
Atom P5731,Launched,Q2'22,Snow Ridge,Server,12,12,10,N/A,2.20,54.5,13.5,N/A,256,DDR4,2933,2,N/A,FCBGA2106,N/A
Atom P5742,Launched,Q2'22,Snow Ridge,Server,16,16,10,N/A,2.20,67,18,N/A,256,DDR4,2933,2,N/A,FCBGA2106,N/A
Atom P5752,Launched,Q2'22,Snow Ridge,Server,20,20,10,N/A,2.20,74.5,22.5,N/A,256,DDR4,2933,2,N/A,FCBGA2106,N/A
Atom P5921B,Discontinued,Q1'20,Snow Ridge,Server,8,8,10,N/A,2.20,N/A,9,L2 Cache,64,DDR4,2933,1,N/A,N/A,85
Atom P5931B,Discontinued,Q1'20,Snow Ridge,Server,12,12,10,N/A,2.20,N/A,13.5,L2 Cache,128,DDR4,2933,2,N/A,N/A,85
Atom P5942B,Discontinued,Q1'20,Snow Ridge,Server,16,16,10,N/A,2.20,N/A,18,L2 Cache,128,DDR4,2933,2,N/A,N/A,85
Atom P5962B,Discontinued,Q1'20,Snow Ridge,Server,24,24,10,N/A,2.20,N/A,27,L2 Cache,128,DDR4,2933,2,N/A,N/A,85
Atom S1220,Discontinued,Q4'12,Centerton,Server,2,4,32,N/A,1.60,8.1,1,N/A,8,DDR3,1333,1,N/A,FCBGA1283,N/A
Atom S1240,Discontinued,Q4'12,Centerton,Server,2,4,32,N/A,1.60,6.1,1,N/A,8,DDR3,1333,1,N/A,FCBGA1283,N/A
Atom S1260,Discontinued,Q4'12,Centerton,Server,2,4,32,N/A,2.00,8.5,1,N/A,8,DDR3,1333,1,N/A,FCBGA1283,N/A
Atom x7203C,Launched,Q2'24,Amston Lake,Embedded,2,N/A,7,3.20,N/A,9,6,N/A,32,"DDR4 3200 MT/s, DDR5 4800 MT/s, LPDDR5 4800 MT/s",4800,1,N/A,FCBGA1264,105
