Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Pentium G3420T,Discontinued,Q3'13,2,N/A,2.70,3,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3430,Discontinued,Q3'13,2,N/A,3.30,3,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3320TE,Launched,Q3'13,2,N/A,2.30,3,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3450,Discontinued,Q2'14,2,N/A,3.40,3,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3450T,Discontinued,Q3'14,2,N/A,2.90,3,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3440,Discontinued,Q2'14,2,N/A,3.30,3,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3440T,Discontinued,Q2'14,2,N/A,2.80,3,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3240,Discontinued,Q2'14,2,N/A,3.10,3,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3240T,Discontinued,Q2'14,2,N/A,2.70,3,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3258,Discontinued,Q2'14,2,N/A,3.20,3,N/A,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3460,Discontinued,Q3'14,2,N/A,3.50,3,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3460T,Discontinued,Q1'15,2,N/A,3.00,3,N/A,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3250,Discontinued,Q3'14,2,N/A,3.20,3,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3250T,Discontinued,Q3'14,2,N/A,2.80,3,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3260,Discontinued,Q1'15,2,N/A,3.30,3,N/A,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3260T,Discontinued,Q1'15,2,N/A,2.90,3,N/A,Intel HD Graphics for 4th Generation Intel Processors
Pentium G3470,Discontinued,Q1'15,2,N/A,3.60,3,N/A,Intel HD Graphics for 4th Generation Intel Processors
Pentium G4400,Launched,Q3'15,2,N/A,3.30,3,Intel Smart Cache,Intel HD 510 Graphics
Pentium G4400TE,Launched,Q4'15,2,N/A,2.40,3,Intel Smart Cache,Intel HD 510 Graphics
Pentium G4400T,Discontinued,Q3'15,2,N/A,2.90,3,Intel Smart Cache,Intel HD 510 Graphics
Pentium G4500T,Discontinued,Q3'15,2,N/A,3.00,3,Intel Smart Cache,Intel HD 530 Graphics
Pentium G4500,Discontinued,Q3'15,2,N/A,3.50,3,Intel Smart Cache,Intel HD 530 Graphics
Pentium G4520,Discontinued,Q3'15,2,N/A,3.60,3,Intel Smart Cache,Intel HD 530 Graphics
Pentium G4560,Discontinued,Q1'17,2,N/A,3.50,3,N/A,Intel HD 610 Graphics
Pentium G4600,Discontinued,Q1'17,2,N/A,3.60,3,N/A,Intel HD 630 Graphics
