Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Xeon X5492,Discontinued,Q3'08,4,N/A,3.40,12,L2 Cache,N/A
Xeon X5482,Discontinued,Q4'07,4,N/A,3.20,12,L2 Cache,N/A
Xeon X5472,Discontinued,Q4'07,4,N/A,3.00,12,L2 Cache,N/A
Xeon E5472,Discontinued,Q4'07,4,N/A,3.00,12,L2 Cache,N/A
Xeon X5470,Discontinued,Q3'08,4,N/A,3.33,12,L2 Cache,N/A
Xeon E5462,Discontinued,Q4'07,4,N/A,2.80,12,L2 Cache,N/A
Xeon X5460,Discontinued,Q4'07,4,N/A,3.16,12,L2 Cache,N/A
Xeon X5450,Discontinued,Q4'07,4,N/A,3.00,12,L2 Cache,N/A
Xeon E5450,Discontinued,Q4'07,4,N/A,3.00,12,L2 Cache,N/A
Xeon E5440,Discontinued,Q1'08,4,N/A,2.83,12,L2 Cache,N/A
Xeon L5430,Discontinued,Q3'08,4,N/A,2.66,12,L2 Cache,N/A
Xeon E5430,Discontinued,Q4'07,4,N/A,2.66,12,L2 Cache,N/A
Xeon L5420,Discontinued,Q1'08,4,N/A,2.50,12,L2 Cache,N/A
Xeon E5420,Discontinued,Q4'07,4,N/A,2.50,12,L2 Cache,N/A
Xeon L5410,Discontinued,Q1'08,4,N/A,2.33,12,L2 Cache,N/A
Xeon E5410,Discontinued,Q4'07,4,N/A,2.33,12,L2 Cache,N/A
Xeon L5408,Discontinued,Q1'08,4,N/A,2.13,12,L2 Cache,N/A
Xeon E5405,Discontinued,Q4'07,4,N/A,2.00,12,L2 Cache,N/A
Xeon X5365,Discontinued,Q3'07,4,N/A,3.00,8,L2 Cache,N/A
Xeon X5355,Discontinued,Q4'06,4,N/A,2.66,8,L2 Cache,N/A
Xeon E5345,Launched,Q1'07,4,N/A,2.33,8,L2 Cache,N/A
Xeon L5335,Discontinued,Q3'07,4,N/A,2.00,8,L2 Cache,N/A
Xeon E5335,Discontinued,Q1'07,4,N/A,2.00,8,L2 Cache,N/A
Xeon L5320,Discontinued,Q1'07,4,N/A,1.86,8,L2 Cache,N/A
Xeon E5320,Discontinued,Q4'06,4,N/A,1.86,8,L2 Cache,N/A
Xeon L5318,Discontinued,Q1'07,4,N/A,1.60,8,L2 Cache,N/A
Xeon L5310,Discontinued,Q1'07,4,N/A,1.60,8,L2 Cache,N/A
Xeon E5310,Discontinued,Q4'06,4,N/A,1.60,8,L2 Cache,N/A
Xeon X5272,Discontinued,Q4'07,2,N/A,3.40,6,L2 Cache,N/A
Xeon X5270,Discontinued,Q3'08,2,N/A,3.50,6,L2 Cache,N/A
Xeon X5260,Discontinued,Q4'07,2,N/A,3.33,6,L2 Cache,N/A
Xeon L5240,Discontinued,Q2'08,2,N/A,3.00,6,L2 Cache,N/A
